Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1,.,諸口,,,0,80100,,
1,009850GUBK,プラスチック収納庫　１７３,009850GUBK,8013183029081 ,0,80100,,
1,009852GUBK,プラスチック収納庫　９３,009852GUBK,8013183029104 ,0,80100,,
1,03803990000,Ｆ－１３１,03803990000 -00,,16107,Z0330,6,0
1,03807340000,Ｆ－１１５,03807340000 -00,,0,Z0330,4.8,0
1,03810060000,Ｆ－８９,03810060000 -00,,0,Z0330,4.8,0
1,03814370000,Ｆ－８８(Ａ),03814370000 -00,,0,Z0330,4.8,0
1,03814380000,Ｆ－８８Ｓ(Ａ),03814380000 -00,,0,Z0330,4.8,0
1,03827830000,Ｆ－１３５,03827830000 -00,,0,Z0330,9.6,0
1,03854420000,Ｆ－Ｓ００２,03854420000 -00,,0,Z0330,9.6,0
1,03854550000,Ｆ－Ｓ０１５,03854550000 -00,,0,Z0330,9.6,0
1,03854570000,Ｆ－Ｓ０１７,03854570000 -00,,0,Z0330,9.6,0
1,042805860000,ＣＮＦ－ＭＳＣ１,042805860000 -00,,0,80100,,
1,05826020000,Ｆ－１２６,05826020000 -00,,0,Z0330,4.56,0
1,05826240000,Ｆ－１２７,05826240000 -00,,0,Z0330,3.52,0
1,05826450000,Ｆ－１２８,05826450000 -00,,0,Z0330,0.66,0
1,05844110000,Ｆ－１２２Ｌ,05844110000 -00,,0,Z0330,4.71,0
1,09032210000,ＵＰ－１６１８Ｋ,09032210000 -00,,0,Z0330,0,0
1,09032220000,ＵＰ－０８０５Ｗ,09032220000 -00,,0,Z0330,0,0
1,09032230000,ＵＰ－１２０８Ｗ,09032230000 -00,,0,Z0330,0,0
1,09032240000,ＵＰ－１６０９Ｗ,09032240000 -00,,0,Z0330,0,0
1,09032250000,ＵＰ－１６１４Ｗ,09032250000 -00,,0,Z0330,0,0
1,09032260000,ＵＰ－１６１２Ｋ,09032260000 -00,,0,Z0330,0,0
1,09032270000,ＵＰ－１６１５Ｋ,09032270000 -00,,0,Z0330,0,0
1,09032280000,ＵＰ－２５２５Ｋ,09032280000 -00,,0,Z0520,0,0
1,09039230000,ＵＰ－０５０３Ｗ,09039230000 -00,,0,Z0330,0,0
1,09112380000,ＵＰ－０５０３ＷＨ,09112380000 -00,,0,Z0330,0,0
1,09112390000,ＵＰ－２５３０Ｋ,09112390000 -00,,0,Z0520,0,0
1,09112400000,ＵＰ－１６２０ＫＤ,09112400000 -00,,0,Z0330,0,0
1,09112410000,ＵＰ－１６２３ＫＤ,09112410000 -00,,0,Z0330,0,0
1,09112420000,ＵＰ－１６１４Ｌ,09112420000 -00,,0,Z0330,0,0
1,09112430000,ＵＰ－１６１９Ｌ,09112430000 -00,,0,Z0330,0,0
1,09112450000,ＵＰ－２５３０Ｌ,09112450000 -00,,0,Z0520,0,0
1,09112470000,ＵＰ－０７１４ＷＤ,09112470000 -00,,0,Z0330,0,0
1,09120090000,ＵＰ－１６０９ＷＨ,09120090000 -00,,0,Z0330,0,0
1,09120100000,ＵＰ－１６１１ＷＨ,09120100000 -00,,0,Z0330,0,0
1,09120110000,ＵＰ－１６１４ＷＨ,09120110000 -00,,0,Z0330,0,0
1,09120120000,ＵＰ－１６１８ＫＨ,09120120000 -00,,0,Z0330,0,0
1,09120130000,ＵＰ－１６１３ＫＳ,09120130000 -00,,0,Z0330,0,0
1,09120140000,ＵＰ－１６１６ＫＳ,09120140000 -00,,0,Z0330,0,0
1,09129640000,ＵＰ－０５０４ＴＡ(Ｗ),09129640000 -00,,0,Z0330,8.8,0
1,09136190000,ＵＰ－０３０７Ｖ,09136190000 -00,,0,Z0330,0,0
1,09136200000,ＵＰ－０５１１Ｖ,09136200000 -00,,0,Z0330,0,0
1,09136210000,ＵＰ－０７１６Ｖ,09136210000 -00,,0,Z0330,0,0
1,09137930000,ＵＰ－１２１９Ｙ,09137930000 -00,,0,Z0330,3.81,0
1,09147410000,ＵＰ－０９１３ＫＳＹ,09147410000 -00,,0,Z0330,3.68,0
1,09147420000,ＵＰ－０９１５ＫＹ,09147420000 -00,,0,Z0330,3.9,0
1,09153920000,ＵＰ－０８０５ＷＨ,09153920000 -00,,0,Z0330,0,0
1,09153930000,ＵＰ－１２０８ＷＨ,09153930000 -00,,0,Z0330,0,0
1,09153980000,ＵＰ－１６１５ＫＨ,09153980000 -00,,0,Z0330,0,0
1,09154050000,ＵＰ－０７１４ＷＤＨ,09154050000 -00,,0,Z0330,0,0
1,09157330000,ＵＰ－０７１０ＫＹ,09157330000 -00,,0,Z0330,3.6,0
1,09199730000,ＵＰ－０５０３Ｗ－Ｗ,09199730000 -00,,0,Z0330,6.8,0
1,09199740000,ＵＰ－０５０３ＷＨ－Ｗ,09199740000 -00,,0,Z0330,6.56,0
1,09199750000,ＵＰ－０８０５Ｗ－Ｗ,09199750000 -00,,0,Z0330,6.94,0
1,09199760000,ＵＰ－０８０５ＷＨ－Ｗ,09199760000 -00,,0,Z0330,5,0
1,09199770000,ＵＰ－１２０８Ｗ－Ｗ,09199770000 -00,,0,Z0330,8.49,0
1,09199780000,ＵＰ－１２０８ＷＨ－Ｗ,09199780000 -00,,0,Z0330,9.2,0
1,09199790000,ＵＰ－１６０９Ｗ－Ｗ,09199790000 -00,,0,Z0330,10.5,0
1,09199800000,ＵＰ－１６０９ＷＨ－Ｗ,09199800000 -00,,0,Z0330,10.5,0
1,09199810000,ＵＰ－１６１１Ｗ－Ｗ,09199810000 -00,,0,Z0330,10.5,0
1,09199820000,ＵＰ－１６１１ＷＨ－Ｗ,09199820000 -00,,0,Z0330,10.5,0
1,09199830000,ＵＰ－１６１４Ｗ－Ｗ,09199830000 -00,,0,Z0330,9.7,0
1,09199840000,ＵＰ－１６１４ＷＨ－Ｗ,09199840000 -00,,0,Z0330,10.5,0
1,09199850000,ＵＰ－１６１２Ｋ－Ｗ,09199850000 -00,,0,Z0330,11.9,0
1,09199870000,ＵＰ－１６１５Ｋ－Ｗ,09199870000 -00,,0,Z0330,11.9,0
1,09199890000,ＵＰ－１６１８Ｋ－Ｗ,09199890000 -00,,0,Z0330,11.9,0
1,09199900000,ＵＰ－１６１８ＫＨ－Ｗ,09199900000 -00,,0,Z0330,11.9,0
1,09199910000,ＵＰ－２５２５Ｋ－Ｗ,09199910000 -00,,0,Z0520,16.8,0
1,09199930000,ＵＰ－２５３０Ｋ－Ｗ,09199930000 -00,,0,Z0520,16.8,0
1,09199940000,ＵＰ－２５３０ＫＨ－Ｗ,09199940000 -00,,0,Z0520,16.8,0
1,09199950000,ＵＰ－１６１３ＫＳ－Ｗ,09199950000 -00,,0,Z0330,11.9,0
1,09199970000,ＵＰ－１６１６ＫＳ－Ｗ,09199970000 -00,,0,Z0330,11.9,0
1,09199990000,ＵＰ－１６２０ＫＤ－Ｗ,09199990000 -00,,0,Z0330,11.3,0
1,09300020000,ＵＰ－１６２３ＫＤ－Ｗ,09300020000 -00,,0,Z0330,11.3,0
1,09300040000,ＵＰ－０７１４ＷＤ－Ｗ,09300040000 -00,,0,Z0330,20.9,0
1,09300050000,ＵＰ－０７１４ＷＤＨ－Ｗ,09300050000 -00,,0,Z0330,0,0
1,09300060000,ＵＰ－１６１４Ｌ－Ｗ,09300060000 -00,,0,Z0330,12.9,0
1,09300070000,ＵＰ－１６１４ＬＨ－Ｗ,09300070000 -00,,0,Z0330,12.9,0
1,09300080000,ＵＰ－１６１９Ｌ－Ｗ,09300080000 -00,,0,Z0330,12.9,0
1,09300100000,ＵＰ－２５３０Ｌ－Ｗ,09300100000 -00,,0,Z0520,18.2,0
1,09300110000,ＵＰ－２５３０ＬＨ－Ｗ,09300110000 -00,,0,Z0520,0,0
1,09300120000,ＵＰ－０３０７Ｖ－Ｗ,09300120000 -00,,0,Z0330,9.7,0
1,09300130000,ＵＰ－０５１１Ｖ－Ｗ,09300130000 -00,,0,Z0330,10.8,0
1,09300140000,ＵＰ－０７１６Ｖ－Ｗ,09300140000 -00,,0,Z0330,11.5,0
1,09312210000,ＵＰ－０３０７Ｖ－Ｗ１,09312210000 -00,,0,Z0330,9.7,0
1,09312220000,ＵＰ－０５１１Ｖ－Ｗ１,09312220000 -00,,0,Z0330,10.8,0
1,09312230000,ＵＰ－０７１６Ｖ－Ｗ１,09312230000 -00,,0,Z0330,11.5,0
1,09325240000,ＵＰ－Ｙ０９１３,09325240000 -00,,0,Z0330,3.68,0
1,09325250000,ＵＰ－Ｙ１２２１,09325250000 -00,,0,Z0330,3.81,0
1,09325260000,ＵＰ－Ｙ１６２４,09325260000 -00,,0,Z0330,3.81,0
1,09800510000,ＵＰ－Ｋ１,09800510000 -00,,0,Z0330,2.3,0
1,09802990000,ＥＲＢ－ＦＢ１,09802990000 -00,,0,Z0330,5,0
1,09805730000,ＵＨＢ－ＤＫ４,09805730000 -00,,0,Z0330,1.5,0
1,09806300000,ＵＰ－ＷＫ１,09806300000 -00,,0,Z0330,1.5,0
1,09806310000,ＵＰ－Ｋ２,09806310000 -00,,0,Z0330,3.5,0
1,09807570000,ＵＰ－Ｙ１,09807570000 -00,,0,Z0330,1.13,0
1,09810560000,ＵＰ－Ｋ３,09810560000 -00,,0,Z0330,2.67,0
1,09810620000,ＵＰ－ＴＡ１,09810620000 -00,,0,Z0330,0.51,0
1,09811880000,ＵＰ－ＴＡ２,09811880000 -00,,0,Z0330,0.5,0
1,09826180000,ＵＨＢ－ＤＫ３,09826180000 -00,,0,Z0330,1.41,0
1,09827340000,ＵＰ－Ｋ１－Ｗ,09827340000 -00,,0,Z0330,1.94,0
1,09827350000,ＵＰ－Ｋ２－Ｗ,09827350000 -00,,0,Z0330,2.43,0
1,09827360000,ＵＰ－Ｋ３－Ｗ,09827360000 -00,,0,Z0330,2,0
1,09827370000,ＵＰ－ＷＫ１－Ｗ,09827370000 -00,,0,Z0330,1.5,0
1,09827880000,ＵＨＢ－ＤＫ５,09827880000 -00,,0,Z0330,1.5,0
1,101A00143A,外筒ベースかしめ組,101A00143A -00,,0,Z0510,0,0
1,101A00274Z,触媒組,101A00274Z -03,,0,Z0520,0,0
1,101A02196Y,触媒組,101A02196Y -01,,0,Z0520,0,0
1,101A03985,上面遮熱板溶接組,101A03985 -00,,5238,Z0040,0.14,0
1,101A04149,上面遮熱板溶接組,101A04149 -00,,0,Z0040,0.14,0
1,101A04814Y,燃焼筒組,101A04814Y -01,,0,Z0520,0,0
1,101A04821W,燃焼筒組,101A04821W -01,,0,Z0520,0,0
1,101A04823Y,燃焼筒組,101A04823Y -01,,0,Z0520,0,0
1,101A04824U,燃焼筒組,101A04824U -02,,0,Z0520,0,0
1,101A04826W,燃焼筒組,101A04826W -02,,0,Z0520,0,0
1,101A04830T,燃焼筒組,101A04830T -03,,0,Z0520,0,0
1,101A04956T,燃焼筒組,101A04956T -03,,0,Z0520,0,0
1,101A06365Y,燃焼筒組,101A06365Y -02,,0,Z0520,0,0
1,101A06442U,燃焼筒完,101A06442U -07,,0,Z0520,0,0
1,101A06442W,燃焼筒完,101A06442W -07,,0,Z0520,0,0
1,101A06603Y,燃焼筒組,101A06603Y -02,,0,Z0520,0,0
1,101A06616Y,燃焼筒組,101A06616Y -02,,0,Z0520,0,0
1,101A06708U,燃焼筒完,101A06708U -01,,0,Z0520,0,0
1,101A06708V,燃焼筒完,101A06708V -01,,0,Z0520,0,0
1,101A06877,ガード塗装完,101A06877 -00,,4729,Z0530,0,0
1,101A06878,ガード塗装完,101A06878 -00,,6556,Z0530,0,0
1,101A06879,ガード塗装組,101A06879 -00,,827,Z0102,0,0
1,101A06880,ガード塗装組,101A06880 -00,,8057,Z0102,0,0
1,101A06880W,ガード塗装組,101A06880W -00,,15924,Z0102,0,0
1,101A06880Y,ガード塗装組,101A06880Y -00,,0,Z0530,0,0
1,101A06891,ガード組,101A06891 -00,,0,Z0530,0,0
1,101A06891A,ガード組,101A06891A -00,,3738,Z0530,0,0
